job_id,simple_skills
1009101894638,"{""key_words"": [""data analysis""]}"
1008935487623,"{""key_words"": [""SQL"", ""R"", ""Python"", ""Tableau"", ""Power BI"", ""JMP"", ""Data Science"", ""Data Analysis"", ""Marketing Analytics""]}"
1009075401250,"{""key_words"": [""data analysis""]}"
1009015472927,"{""key_words"": [""data analysis"", ""data mining"", ""data visualization"", ""business intelligence"", ""database concepts"", ""data modeling"", ""data processing"", ""data quality assurance"", ""data warehousing"", ""distribution methodologies"", ""Excel"", ""Access"", ""ANSII SQL"", ""BI Reporting Tools"", ""Python"", ""R"", ""Tableau""]}"
1009030703219,"{""key_words"": [""data aggregation"", ""SQL"", ""DAX"", ""M"", ""Army data applications"", ""data analytics"", ""data pipelines"", ""data cleansing"", ""business intelligence"", ""data visualizations"", ""predictive models"", ""prognosticative models"", ""Power Automate"", ""Power Apps"", ""Power BI"", ""DAX"", ""Excel Macros"", ""Visual Basic for Applications (VBA)"", ""Power Query"", ""SharePoint Lists"", ""data mining"", ""modeling"", ""Python""]}"
1009017140895,"{""key_words"": [""Data Analysis"", ""Data Tracking"", ""Data Reporting"", ""Data Auditing"", ""Data Import"", ""Data Export"", ""Database Management"", ""System Administration"", ""Word"", ""Excel"", ""Outlook""]}"
1009129694699,"{""key_words"": [""data analysis"", ""data quality"", ""Power BI"", ""Power Query"", ""Excel""]}"
1009115235396,"{""key_words"": [""data analytics"", ""data management"", ""Alteryx Designer"", ""Tableau"", ""ETL workflows"", ""Microsoft Excel"", ""Access"", ""VBA""]}"
1009123812059,"{""key_words"": [""Data Integrity"", ""Cost/Benefit Analysis"", ""Data Analysis"", ""Reporting"", ""Data Platforms"", ""Data Maintenance"", ""Inventory Reporting"", ""Cross Functional Collaboration"", ""Data Analytics"", ""Efficiency"", ""Forecasting"", ""Budgeting"", ""Allocation Reporting"", ""Acumatica"", ""Microsoft Excel""]}"
1009101429756,"{""key_words"": [""data analysis""]}"
1009122460621,"{""key_words"": [""data analysis"", ""data generation"", ""data management"", ""data models"", ""data quality"", ""data science"", ""data visualization"", ""ERP"", ""BI tools"", ""OAC"", ""SCRUM"", ""Agile""]}"
1008923382443,"{""key_words"": [""problem-solving skills"", ""communication skills"", ""organizational skills"", ""positive attitude"", ""customer service skills"", ""experience with operating systems"", ""data classification and security practices"", ""Advanced SQL query development"", ""SSMA"", ""stored procedures"", ""scheduled task"", ""custom code"", ""Microsoft Excel"", ""VBA components"", ""data dissection and analysis""]}"
1009100124612,"{""key_words"": [""Data analysis"", ""Data models"", ""Dasboards"", ""Pipline storage"", ""Peaking capacity procurement"", ""Spreadsheet analysis"", ""PowerBI"", ""Excel"", ""Python""]}"
1009060664942,"{""key_words"": [""data analysis"", ""data integration"", ""BI"", ""database query"", ""data cleaning"", ""data organization"", ""data refresh"", ""data update"", ""user support"", ""documentation"", ""MRA"", ""Quality"", ""Clinical services"", ""trend analysis"", ""ad hoc analysis"", ""IPA"", ""MSO"", ""PCP"", ""spreadsheet"", ""SDLC"", ""MRA/HEDIS/Star"", ""SQL"", ""SSRS""]}"
1009106860164,"{""key_words"": [""Data Analysis"", ""Data Visualization"", ""Power BI"", ""Salesforce"", ""Data Extraction"", ""Data Manipulation"", ""Data Cleaning"", ""Data Transformation"", ""Data Validation"", ""SQL"", ""Problem Solving"", ""Communication"", ""Data Visualization Best Practices""]}"
1009060659434,"{""key_words"": [""data analysis"", ""data integrity"", ""Tableau"", ""Power BI"", ""SQL"", ""VBA"", ""Python"", ""project management"", ""database querying""]}"
1009126544428,"{""key_words"": [""auditing"", ""nursing documentation""]}"
1009129115456,"{""key_words"": [""data analysis"", ""data mining"", ""data management"", ""dash boarding"", ""financial data analysis"", ""clinical data analysis"", ""data integrity"", ""program development"", ""data visualization"", ""data illustration""]}"
1009115043020,"{""key_words"": [""Spotfire"", ""SQL"", ""R"", ""Python"", ""Power BI""]}"
1009124255065,"{""key_words"": [""database management"", ""data analytics"", ""reporting"", ""dashboard creation"", ""data analysis"", ""relational data"", ""SQL"", ""data management"", ""data structures"", ""query management"", ""technical expertise"", ""system programming""]}"
1009061710207,"{""key_words"": [""data analysis"", ""product performance"", ""member databases"", ""modeling approaches"", ""historical trends"", ""market and product growth"", ""data governance"", ""documentation"", ""data-driven performance management"", ""process improvement"", ""report writing"", ""database use"", ""MS-SQL"", ""data privacy"", ""database platforms"", ""quality assurance"", ""data audit checks"", ""data gathering"", ""loan sales"", ""CUDL"", ""HELOC"", ""business loans"", ""share of wallet"", ""financial and economic levers"", ""technical analysis"", ""problem-solving skills"", ""actionable reporting"", ""customer service"", ""business ethics"", ""time management"", ""prioritization"", ""written communication""]}"
1009125398810,"{""key_words"": [""SQL"", ""VBA"", ""Excel""]}"
1009113768751,"{""key_words"": [""data analysis"", ""programming languages"", ""database management"", ""statistical analysis""]}"
1009113819837,"{""key_words"": [""Database"", ""Data Collection & Extraction"", ""Data Exploration & Cleaning"", ""Statistical Analysis & Modeling"", ""Reporting & Visualization"", ""Collaboration & Communication"", ""Finance"", ""Accounting"", ""Business"", ""Statistics"", ""Math"", ""R"", ""Python"", ""PowerBI"", ""SQL"", ""Model Development"", ""Validation"", ""Interpersonal Skills"", ""Business Processes"", ""Metrics"", ""Teamwork""]}"
1008947401065,"{""key_words"": [""data analysis"", ""data management"", ""data integration"", ""data warehousing"", ""SQL"", ""Power BI"", ""Tableau"", ""Microsoft Power BI""]}"
1009129819297,"{""key_words"": [""Sql"", ""Data"", ""Data analysis"", ""Population Health"", ""Analytic"", ""Microsoft excel"", ""Excel""]}"
1009048129569,"{""key_words"": [""Drupal"", ""Sharepoint"", ""HTML"", ""CSS"", ""JavaScript"", ""SEO"", ""GA4 reporting"", ""Google Ads"", ""Google Analytics"", ""Data Studio"", ""Tag Manager"", ""Tableau"", ""Cognos""]}"
1009086363801,"{""key_words"": [""ETL"", ""GIS"", ""Excel"", ""T-SQL"", ""R"", ""Python""]}"
