job_id,simplified_skills
1009101894638,data analysis
1008935487623,sql
1008935487623,r
1008935487623,python
1008935487623,tableau
1008935487623,power bi
1008935487623,jmp
1008935487623,data science
1008935487623,data analysis
1008935487623,data analytics
1009075401250,data analysis
1009015472927,data analysis
1009015472927,data mining
1009015472927,data visualization and reporting
1009015472927,business intelligence
1009015472927,database building and management
1009015472927,data modeling
1009015472927,data processing
1009015472927,data integrity and quality
1009015472927,database building and management
1009015472927,distribution methodologies
1009015472927,excel
1009015472927,access
1009015472927,sql
1009015472927,data visualization and reporting
1009015472927,python
1009015472927,r
1009015472927,tableau
1009030703219,data aggregation
1009030703219,sql
1009030703219,dax
1009030703219,m
1009030703219,army data applications
1009030703219,data analytics
1009030703219,data pipelines
1009030703219,data cleaning
1009030703219,business intelligence
1009030703219,data visualization and reporting
1009030703219,data modeling
1009030703219,data modeling
1009030703219,power automate
1009030703219,power apps
1009030703219,power bi
1009030703219,excel
1009030703219,visual basic for applications (vba)
1009030703219,power bi
1009030703219,sharepoint
1009030703219,data mining
1009030703219,data modeling
1009030703219,python
1009017140895,data analysis
1009017140895,data tracking
1009017140895,data visualization and reporting
1009017140895,data auditing
1009017140895,data import
1009017140895,data export
1009017140895,database building and management
1009017140895,system administration
1009017140895,ms word
1009017140895,excel
1009017140895,outlook
1009129694699,data analysis
1009129694699,data integrity and quality
1009129694699,power bi
1009129694699,power bi
1009129694699,excel
1009115235396,data analytics
1009115235396,database building and management
1009115235396,alteryx designer
1009115235396,tableau
1009115235396,etl
1009115235396,excel
1009115235396,access
1009115235396,vba
1009123812059,data integrity and quality
1009123812059,cost/benefit analysis
1009123812059,data analysis
1009123812059,data visualization and reporting
1009123812059,data platforms
1009123812059,data maintenance
1009123812059,data visualization and reporting
1009123812059,cross functional collaboration
1009123812059,data analytics
1009123812059,efficiency
1009123812059,forecasting
1009123812059,budgeting
1009123812059,data visualization and reporting
1009123812059,acumatica
1009123812059,excel
1009101429756,data analysis
1009122460621,data analysis
1009122460621,data generation
1009122460621,database building and management
1009122460621,data modeling
1009122460621,data integrity and quality
1009122460621,data science
1009122460621,data visualization and reporting
1009122460621,erp
1009122460621,business intelligence
1009122460621,oac
1009122460621,scrum
1009122460621,agile
1008923382443,problem-solving skills
1008923382443,communication
1008923382443,organizational skills
1008923382443,positive attitude
1008923382443,customer service skills
1008923382443,experience with operating systems
1008923382443,data classification and security practices
1008923382443,sql
1008923382443,ssma
1008923382443,stored procedures
1008923382443,scheduled task
1008923382443,custom code
1008923382443,excel
1008923382443,vba components
1008923382443,data dissection and analysis
1009100124612,data analysis
1009100124612,data modeling
1009100124612,dasboards
1009100124612,pipline storage
1009100124612,peaking capacity procurement
1009100124612,spreadsheet analysis
1009100124612,power bi
1009100124612,excel
1009100124612,python
1009060664942,data analysis
1009060664942,database building and management
1009060664942,bi
1009060664942,database building and management
1009060664942,data cleaning
1009060664942,data organization
1009060664942,data refresh
1009060664942,data update
1009060664942,user support
1009060664942,documentation
1009060664942,mra
1009060664942,data integrity and quality
1009060664942,clinical services
1009060664942,trend analysis
1009060664942,ad hoc analysis
1009060664942,ipa
1009060664942,mso
1009060664942,pcp
1009060664942,spreadsheet
1009060664942,sdlc
1009060664942,mra/hedis/star
1009060664942,sql
1009060664942,ssrs
1009106860164,data analysis
1009106860164,data visualization and reporting
1009106860164,power bi
1009106860164,salesforce
1009106860164,etl
1009106860164,data manipulation
1009106860164,data cleaning
1009106860164,etl
1009106860164,data validation
1009106860164,sql
1009106860164,problem solving
1009106860164,communication
1009106860164,data visualization and reporting
1009060659434,data analysis
1009060659434,data integrity and quality
1009060659434,tableau
1009060659434,power bi
1009060659434,sql
1009060659434,vba
1009060659434,python
1009060659434,project management
1009060659434,database building and management
1009126544428,auditing
1009126544428,nursing documentation
1009129115456,data analysis
1009129115456,data mining
1009129115456,database building and management
1009129115456,dash boarding
1009129115456,data analysis
1009129115456,data analysis
1009129115456,data integrity and quality
1009129115456,program development
1009129115456,data visualization and reporting
1009129115456,data illustration
1009115043020,spotfire
1009115043020,sql
1009115043020,r
1009115043020,python
1009115043020,power bi
1009124255065,database building and management
1009124255065,data analytics
1009124255065,data visualization and reporting
1009124255065,data visualization and reporting
1009124255065,data analysis
1009124255065,relational data
1009124255065,sql
1009124255065,database building and management
1009124255065,data structures
1009124255065,query management
1009124255065,technical expertise
1009124255065,system programming
1009061710207,data analysis
1009061710207,product performance
1009061710207,database building and management
1009061710207,data modeling
1009061710207,historical trends
1009061710207,market and product growth
1009061710207,data governance
1009061710207,documentation
1009061710207,data-driven performance management
1009061710207,process improvement
1009061710207,data visualization and reporting
1009061710207,database building and management
1009061710207,sql
1009061710207,data privacy
1009061710207,database building and management
1009061710207,data integrity and quality
1009061710207,data audit checks
1009061710207,data gathering
1009061710207,loan sales
1009061710207,cudl
1009061710207,heloc
1009061710207,business loans
1009061710207,share of wallet
1009061710207,financial and economic levers
1009061710207,technical analysis
1009061710207,problem-solving skills
1009061710207,data visualization and reporting
1009061710207,customer service
1009061710207,business ethics
1009061710207,time management
1009061710207,prioritization
1009061710207,communication
1009125398810,sql
1009125398810,vba
1009125398810,excel
1009113768751,data analysis
1009113768751,programming languages
