job_id,simplified_skills
1009101894638,data analysis
1008935487623,sql
1008935487623,r
1008935487623,python
1008935487623,tableau
1008935487623,power bi
1008935487623,data science
1008935487623,data analysis
1008935487623,data analytics
1009075401250,data analysis
1009015472927,data analysis
1009015472927,data mining
1009015472927,data visualization and reporting
1009015472927,business intelligence
1009015472927,database building and management
1009015472927,data modeling
1009015472927,data integrity and quality
1009015472927,database building and management
1009015472927,excel
1009015472927,sql
1009015472927,data visualization and reporting
1009015472927,python
1009015472927,r
1009015472927,tableau
1009030703219,sql
1009030703219,data analytics
1009030703219,data cleaning
1009030703219,business intelligence
1009030703219,data visualization and reporting
1009030703219,data modeling
1009030703219,data modeling
1009030703219,power bi
1009030703219,excel
1009030703219,power bi
1009030703219,sharepoint
1009030703219,data mining
1009030703219,data modeling
1009030703219,python
1009017140895,data analysis
1009017140895,data visualization and reporting
1009017140895,database building and management
1009017140895,ms word
1009017140895,excel
1009129694699,data analysis
1009129694699,data integrity and quality
1009129694699,power bi
1009129694699,power bi
1009129694699,excel
1009115235396,data analytics
1009115235396,database building and management
1009115235396,tableau
1009115235396,etl
1009115235396,excel
1009123812059,data integrity and quality
1009123812059,data analysis
1009123812059,data visualization and reporting
1009123812059,data visualization and reporting
1009123812059,data analytics
1009123812059,data visualization and reporting
1009123812059,excel
1009101429756,data analysis
1009122460621,data analysis
1009122460621,database building and management
1009122460621,data modeling
1009122460621,data integrity and quality
1009122460621,data science
1009122460621,data visualization and reporting
1009122460621,business intelligence
1008923382443,communication
1008923382443,sql
1008923382443,excel
1009100124612,data analysis
1009100124612,data modeling
1009100124612,power bi
1009100124612,excel
1009100124612,python
1009060664942,data analysis
1009060664942,database building and management
1009060664942,database building and management
1009060664942,data cleaning
1009060664942,data integrity and quality
1009060664942,sql
1009106860164,data analysis
1009106860164,data visualization and reporting
1009106860164,power bi
1009106860164,etl
1009106860164,data manipulation
1009106860164,data cleaning
1009106860164,etl
1009106860164,sql
1009106860164,communication
1009106860164,data visualization and reporting
1009060659434,data analysis
1009060659434,data integrity and quality
1009060659434,tableau
1009060659434,power bi
1009060659434,sql
1009060659434,python
1009060659434,database building and management
1009129115456,data analysis
1009129115456,data mining
1009129115456,database building and management
1009129115456,data analysis
1009129115456,data analysis
1009129115456,data integrity and quality
1009129115456,data visualization and reporting
1009115043020,sql
1009115043020,r
1009115043020,python
1009115043020,power bi
1009124255065,database building and management
1009124255065,data analytics
1009124255065,data visualization and reporting
1009124255065,data visualization and reporting
1009124255065,data analysis
1009124255065,sql
1009124255065,database building and management
1009061710207,data analysis
1009061710207,database building and management
1009061710207,data modeling
1009061710207,data governance
1009061710207,data visualization and reporting
1009061710207,database building and management
1009061710207,sql
1009061710207,database building and management
1009061710207,data integrity and quality
1009061710207,data visualization and reporting
1009061710207,communication
1009125398810,sql
1009125398810,excel
1009113768751,data analysis
1009113768751,database building and management
1009113768751,statistical analysis
1009113819837,database building and management
1009113819837,etl
1009113819837,data cleaning
1009113819837,statistical analysis
1009113819837,data visualization and reporting
1009113819837,communication
1009113819837,statistical analysis
1009113819837,r
1009113819837,python
1009113819837,power bi
1009113819837,sql
1009113819837,data modeling
1008947401065,data analysis
1008947401065,database building and management
1008947401065,database building and management
1008947401065,database building and management
1008947401065,sql
1008947401065,power bi
1008947401065,tableau
1008947401065,power bi
1009129819297,sql
1009129819297,data analysis
1009129819297,excel
1009129819297,excel
1009048129569,sharepoint
1009048129569,javascript
1009048129569,data visualization and reporting
1009048129569,data analytics
1009048129569,tableau
1009086363801,etl
1009086363801,excel
1009086363801,sql
1009086363801,r
1009086363801,python
1009117269984,data analysis
1009117269984,data integrity and quality
1009117269984,database building and management
1009117269984,data visualization and reporting
1009117269984,data visualization and reporting
1009117269984,data visualization and reporting
1009117269984,sql
1009110971545,data analysis
1009110971545,database building and management
1009110971545,data modeling
1009110971545,excel
1009110971545,sql
1009110971545,tableau
1009110971545,statistical analysis
1009110971545,ai and machine learning
1009101503636,data analysis
1009101503636,data visualization and reporting
1009101503636,database building and management
1009101503636,database building and management
1009101503636,statistical analysis
1009101503636,data visualization and reporting
1009101503636,r
1009101503636,python
1009101503636,excel
1009128663338,data science
1009128663338,data integrity and quality
1009128663338,database building and management
1009128663338,power bi
1009128663338,excel
1009084413070,statistical analysis
1009084413070,data integrity and quality
1009084413070,data cleaning
1009084413070,data modeling
1009084413070,data integrity and quality
1009084413070,etl
1009084413070,database building and management
1009084413070,etl
1009084413070,statistical analysis
1009084413070,data analytics
1009084413070,ai and machine learning
1009084413070,spss/sas
1009084413070,spss/sas
1009084413070,sql
1009084413070,excel
1009084413070,power bi
1009084413070,python
1009084413070,r
1009084413070,javascript
1009084413070,sql
1009084413070,sql
1009124526918,sql
1009124526918,python
1009124526918,r
1009124526918,spss/sas
1009124526918,tableau
1009124526918,sql
1009124526918,power bi
1009118821952,data analysis
1009118821952,data analysis
1009118821952,database building and management
1009118821952,database building and management
1009118821952,sql
1009118821952,sql
1009118821952,statistical analysis
1009118821952,data visualization and reporting
1009118821952,database building and management
1009118821952,database building and management
1009118821952,excel
1009118821952,tableau
1009118821952,powerpoint
1009118821952,python
1009124496960,power bi
1009124496960,data analysis
1009124496960,data governance
