job_id,company,company_rating,location,company_size,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,scrapped_date,salary_avg_estimate_yr,job_state,desc_len,simple_job_title,generated_skills,simple_skills,num_keywords
1009101894638,CHRISTUS Health,3.5,"Corpus Christi, TX",10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),3.5,3.2,3.5,3.1,3.4,2024-02-16,75615.0,TX,1962,Senior Data Analyst,"['{""key_words"": [""data analysis""]}']","{""key_words"": [""data analysis""]}",1
1008935487623,SOUTH COLLEGE,3.2,"Knoxville, TN",1001 to 5000 Employees,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,3.5,3.3,3.4,3.2,3.1,2024-02-16,85985.0,TN,2553,Senior Data Analyst,"['{""key_words"": [""SQL"", ""R"", ""Python"", ""Tableau"", ""Power BI"", ""JMP"", ""Data Science"", ""Data Analysis"", ""Marketing Analytics""]}']","{""key_words"": [""SQL"", ""R"", ""Python"", ""Tableau"", ""Power BI"", ""JMP"", ""Data Science"", ""Data Analysis"", ""Marketing Analytics""]}",9
1009075401250,Hearing Care Central,2.1,"O'Fallon, IL",51 to 200 Employees,Subsidiary or Business Segment,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable,2.6,3.0,2.0,2.6,3.1,2024-02-16,46000.0,IL,1295,Data Analyst,"['{""key_words"": [""data analysis""]}']","{""key_words"": [""data analysis""]}",1
1009015472927,"Broadcast Music, Inc",3.4,"Nashville, TN",501 to 1000 Employees,Company - Private,Membership Organizations,Management & Consulting,Unknown / Non-Applicable,2.7,3.3,3.8,3.0,3.7,2024-02-16,89921.0,TN,6235,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""data mining"", ""data visualization"", ""business intelligence"", ""database concepts"", ""data modeling"", ""data processing"", ""data quality assurance"", ""data warehousing"", ""distribution methodologies"", ""Excel"", ""Access"", ""ANSII SQL"", ""BI Reporting Tools"", ""Python"", ""R"", ""Tableau""]}']","{""key_words"": [""data analysis"", ""data mining"", ""data visualization"", ""business intelligence"", ""database concepts"", ""data modeling"", ""data processing"", ""data quality assurance"", ""data warehousing"", ""distribution methodologies"", ""Excel"", ""Access"", ""ANSII SQL"", ""BI Reporting Tools"", ""Python"", ""R"", ""Tableau""]}",17
1009030703219,"Ecompex, Inc.",3.5,"Fayetteville, NC",51 to 200 Employees,Company - Private,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.2,3.4,3.5,3.4,3.5,2024-02-16,74573.0,NC,6057,Data Analyst,"['{""key_words"": [""data aggregation"", ""SQL"", ""DAX"", ""M"", ""Army data applications"", ""data analytics"", ""data pipelines"", ""data cleansing"", ""business intelligence"", ""data visualizations"", ""predictive models"", ""prognosticative models"", ""Power Automate"", ""Power Apps"", ""Power BI"", ""DAX"", ""Excel Macros"", ""Visual Basic for Applications (VBA)"", ""Power Query"", ""SharePoint Lists"", ""data mining"", ""modeling"", ""Python""]}']","{""key_words"": [""data aggregation"", ""SQL"", ""DAX"", ""M"", ""Army data applications"", ""data analytics"", ""data pipelines"", ""data cleansing"", ""business intelligence"", ""data visualizations"", ""predictive models"", ""prognosticative models"", ""Power Automate"", ""Power Apps"", ""Power BI"", ""DAX"", ""Excel Macros"", ""Visual Basic for Applications (VBA)"", ""Power Query"", ""SharePoint Lists"", ""data mining"", ""modeling"", ""Python""]}",23
1009017140895,Edward-Elmhurst Health,3.6,"Glenview, IL",Unknown,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.4,3.3,3.5,3.0,3.2,2024-02-16,75399.0,IL,5135,Data Analyst,"['{""key_words"": [""Data Analysis"", ""Data Tracking"", ""Data Reporting"", ""Data Auditing"", ""Data Import"", ""Data Export"", ""Database Management"", ""System Administration"", ""Word"", ""Excel"", ""Outlook""]}']","{""key_words"": [""Data Analysis"", ""Data Tracking"", ""Data Reporting"", ""Data Auditing"", ""Data Import"", ""Data Export"", ""Database Management"", ""System Administration"", ""Word"", ""Excel"", ""Outlook""]}",11
1009129694699,Experis,3.6,"Inver Grove Heights, MN",5001 to 10000 Employees,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),3.3,3.2,3.5,3.3,3.6,2024-02-16,104000.0,MN,2203,Senior Data Analyst,"['{""key_words"": [""data analysis"", ""data quality"", ""Power BI"", ""Power Query"", ""Excel""]}']","{""key_words"": [""data analysis"", ""data quality"", ""Power BI"", ""Power Query"", ""Excel""]}",5
1009115235396,MedPro Group,3.8,"Fort Wayne, IN",1001 to 5000 Employees,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $5 billion (USD),2.9,3.4,3.4,2.6,3.9,2024-02-16,69755.0,IN,3008,Data Analyst,"['{""key_words"": [""data analytics"", ""data management"", ""Alteryx Designer"", ""Tableau"", ""ETL workflows"", ""Microsoft Excel"", ""Access"", ""VBA""]}']","{""key_words"": [""data analytics"", ""data management"", ""Alteryx Designer"", ""Tableau"", ""ETL workflows"", ""Microsoft Excel"", ""Access"", ""VBA""]}",8
1009123812059,Buy Sod USA,2.6,"Raleigh, NC",Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,2.6,2.6,2.6,2.0,3.8,2024-02-16,67932.0,NC,2754,Data Analyst,"['{""key_words"": [""Data Integrity"", ""Cost/Benefit Analysis"", ""Data Analysis"", ""Reporting"", ""Data Platforms"", ""Data Maintenance"", ""Inventory Reporting"", ""Cross Functional Collaboration"", ""Data Analytics"", ""Efficiency"", ""Forecasting"", ""Budgeting"", ""Allocation Reporting"", ""Acumatica"", ""Microsoft Excel""]}']","{""key_words"": [""Data Integrity"", ""Cost/Benefit Analysis"", ""Data Analysis"", ""Reporting"", ""Data Platforms"", ""Data Maintenance"", ""Inventory Reporting"", ""Cross Functional Collaboration"", ""Data Analytics"", ""Efficiency"", ""Forecasting"", ""Budgeting"", ""Allocation Reporting"", ""Acumatica"", ""Microsoft Excel""]}",15
1009101429756,TDI Technologies,4.7,"Philadelphia, PA",51 to 200 Employees,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.3,4.6,4.8,4.8,4.8,2024-02-16,75291.0,PA,4200,Data Analyst,"['{""key_words"": [""data analysis""]}']","{""key_words"": [""data analysis""]}",1
